Ulasan,Case Folding,Remove Punctuation,Remove Number,Tokenization,Spelling Correction,Stopwords,Stemming,Sentimen
Kenapa jelajah Nusantara ngga jadi ya,kenapa jelajah nusantara ngga jadi ya,kenapa jelajah nusantara ngga jadi ya,kenapa jelajah nusantara ngga jadi ya,"['kenapa', 'jelajah', 'nusantara', 'ngga', 'jadi', 'ya']","['kenapa', 'jelajah', 'nusantara', 'tidak', 'jadi', 'ya']","['jelajah', 'nusantara', 'tidak', 'jadi']",jelajah nusantara tidak jadi,NETRAL
Heewew jgn ragu apk ini bisa beli pulsa lohh,heewew jgn ragu apk ini bisa beli pulsa lohh,heewew jgn ragu apk ini bisa beli pulsa lohh,heewew jgn ragu apk ini bisa beli pulsa lohh,"['heewew', 'jgn', 'ragu', 'apk', 'ini', 'bisa', 'beli', 'pulsa', 'lohh']","['heewew', 'jangan', 'ragu', 'aplikasi', 'ini', 'bisa', 'beli', 'pulsa', 'loh']","['heewew', 'jangan', 'ragu', 'aplikasi', 'beli', 'pulsa', 'loh']",heewew jangan ragu aplikasi beli pulsa loh,POSITIF
Sinyal makin busuk aja dikit dikit gangguan,sinyal makin busuk aja dikit dikit gangguan,sinyal makin busuk aja dikit dikit gangguan,sinyal makin busuk aja dikit dikit gangguan,"['sinyal', 'makin', 'busuk', 'aja', 'dikit', 'dikit', 'gangguan']","['sinyal', 'makin', 'busuk', 'saja', 'sedikit', 'sedikit', 'gangguan']","['sinyal', 'makin', 'busuk', 'sedikit', 'sedikit', 'gangguan']",sinyal makin busuk sedikit sedikit ganggu,NEGATIF
Beli pulsa 50rb cuma dapat perpanjangan masa aktif 1 minggu ki pye,beli pulsa 50rb cuma dapat perpanjangan masa aktif 1 minggu ki pye,beli pulsa 50rb cuma dapat perpanjangan masa aktif 1 minggu ki pye,beli pulsa rb cuma dapat perpanjangan masa aktif  minggu ki pye,"['beli', 'pulsa', 'rb', 'cuma', 'dapat', 'perpanjangan', 'masa', 'aktif', 'minggu', 'ki', 'pye']","['beli', 'pulsa', 'ribu', 'cuma', 'dapat', 'perpanjangan', 'masa', 'aktif', 'minggu', 'ki', 'bagaimana']","['beli', 'pulsa', 'ribu', 'cuma', 'perpanjangan', 'masa', 'aktif', 'minggu', 'ki', 'bagaimana']",beli pulsa ribu cuma panjang masa aktif minggu ki bagaimana,NEGATIF
Daily cek in mulai tanggal sepuluh Tapi misi buat dapat kuota harus cek in 22 hari,daily cek in mulai tanggal sepuluh tapi misi buat dapat kuota harus cek in 22 hari,daily cek in mulai tanggal sepuluh tapi misi buat dapat kuota harus cek in 22 hari,daily cek in mulai tanggal sepuluh tapi misi buat dapat kuota harus cek in  hari,"['daily', 'cek', 'in', 'mulai', 'tanggal', 'sepuluh', 'tapi', 'misi', 'buat', 'dapat', 'kuota', 'harus', 'cek', 'in', 'hari']","['daily', 'cek', 'in', 'mulai', 'tanggal', 'sepuluh', 'tapi', 'misi', 'buat', 'dapat', 'kuota', 'harus', 'cek', 'in', 'hari']","['daily', 'cek', 'in', 'mulai', 'tanggal', 'sepuluh', 'misi', 'buat', 'kuota', 'cek', 'in', 'hari']",daily cek in mulai tanggal puluh misi buat kuota cek in hari,NETRAL
puas dengan pelayanan,puas dengan pelayanan,puas dengan pelayanan,puas dengan pelayanan,"['puas', 'dengan', 'pelayanan']","['puas', 'dengan', 'pelayanan']","['puas', 'pelayanan']",puas layan,POSITIF
Sangat simpel prosesnya dan menguntungkan,sangat simpel prosesnya dan menguntungkan,sangat simpel prosesnya dan menguntungkan,sangat simpel prosesnya dan menguntungkan,"['sangat', 'simpel', 'prosesnya', 'dan', 'menguntungkan']","['sangat', 'simpel', 'prosesnya', 'dan', 'menguntungkan']","['sangat', 'simpel', 'prosesnya', 'menguntungkan']",sangat simpel proses untung,POSITIF
nama elit jaringn sulit!!!!,nama elit jaringn sulit!!!!,nama elit jaringn sulit    ,nama elit jaringn sulit    ,"['nama', 'elit', 'jaringn', 'sulit']","['nama', 'elit', 'jaringan', 'sulit']","['nama', 'elit', 'jaringan', 'sulit']",nama elit jaring sulit,NEGATIF
Saya hanya Buruh kasar,saya hanya buruh kasar,saya hanya buruh kasar,saya hanya buruh kasar,"['saya', 'hanya', 'buruh', 'kasar']","['saya', 'hanya', 'buruh', 'kasar']","['buruh', 'kasar']",buruh kasar,NETRAL
Telkomsek tambah parah makanya gak laku masa mau tranfer pulsa aja di potong banyak banget 2000 kaya beli pulsa di konter,telkomsek tambah parah makanya gak laku masa mau tranfer pulsa aja di potong banyak banget 2000 kaya beli pulsa di konter,telkomsek tambah parah makanya gak laku masa mau tranfer pulsa aja di potong banyak banget 2000 kaya beli pulsa di konter,telkomsek tambah parah makanya gak laku masa mau tranfer pulsa aja di potong banyak banget  kaya beli pulsa di konter,"['telkomsek', 'tambah', 'parah', 'makanya', 'gak', 'laku', 'masa', 'mau', 'tranfer', 'pulsa', 'aja', 'di', 'potong', 'banyak', 'banget', 'kaya', 'beli', 'pulsa', 'di', 'konter']","['telkomsel', 'tambah', 'parah', 'makanya', 'tidak', 'laku', 'masa', 'mau', 'transfer', 'pulsa', 'saja', 'di', 'potong', 'banyak', 'banget', 'kaya', 'beli', 'pulsa', 'di', 'konter']","['telkomsel', 'tambah', 'parah', 'makanya', 'tidak', 'laku', 'masa', 'mau', 'transfer', 'pulsa', 'potong', 'banyak', 'banget', 'kaya', 'beli', 'pulsa', 'konter']",telkomsel tambah parah makanya tidak laku masa mau transfer pulsa potong banyak banget kaya beli pulsa konter,NEGATIF
"Telkomsel pandai sekali bikin penggunanya melakukan transaksi tanpa disadari. Tadi klik link di facebook. Padahal kuota masih banyak, tapi masih saja ditanya buat beli paket. Tadi lagi sibuk ke hal lain, jadinya ga sengaja terklik. Malah paket darurat yang aktif. Dulu paket darurat muncul kalau kuota habis. Tetapi sekarang agak lain. Lalu suka nyedot pulsa juga kalo misal kuota habis.","telkomsel pandai sekali bikin penggunanya melakukan transaksi tanpa disadari. tadi klik link di facebook. padahal kuota masih banyak, tapi masih saja ditanya buat beli paket. tadi lagi sibuk ke hal lain, jadinya ga sengaja terklik. malah paket darurat yang aktif. dulu paket darurat muncul kalau kuota habis. tetapi sekarang agak lain. lalu suka nyedot pulsa juga kalo misal kuota habis.",telkomsel pandai sekali bikin penggunanya melakukan transaksi tanpa disadari  tadi klik link di facebook  padahal kuota masih banyak  tapi masih saja ditanya buat beli paket  tadi lagi sibuk ke hal lain  jadinya ga sengaja terklik  malah paket darurat yang aktif  dulu paket darurat muncul kalau kuota habis  tetapi sekarang agak lain  lalu suka nyedot pulsa juga kalo misal kuota habis ,telkomsel pandai sekali bikin penggunanya melakukan transaksi tanpa disadari  tadi klik link di facebook  padahal kuota masih banyak  tapi masih saja ditanya buat beli paket  tadi lagi sibuk ke hal lain  jadinya ga sengaja terklik  malah paket darurat yang aktif  dulu paket darurat muncul kalau kuota habis  tetapi sekarang agak lain  lalu suka nyedot pulsa juga kalo misal kuota habis ,"['telkomsel', 'pandai', 'sekali', 'bikin', 'penggunanya', 'melakukan', 'transaksi', 'tanpa', 'disadari', 'tadi', 'klik', 'link', 'di', 'facebook', 'padahal', 'kuota', 'masih', 'banyak', 'tapi', 'masih', 'saja', 'ditanya', 'buat', 'beli', 'paket', 'tadi', 'lagi', 'sibuk', 'ke', 'hal', 'lain', 'jadinya', 'ga', 'sengaja', 'terklik', 'malah', 'paket', 'darurat', 'yang', 'aktif', 'dulu', 'paket', 'darurat', 'muncul', 'kalau', 'kuota', 'habis', 'tetapi', 'sekarang', 'agak', 'lain', 'lalu', 'suka', 'nyedot', 'pulsa', 'juga', 'kalo', 'misal', 'kuota', 'habis']","['telkomsel', 'pandai', 'sekali', 'bikin', 'penggunanya', 'melakukan', 'transaksi', 'tanpa', 'disadari', 'tadi', 'klik', 'link', 'di', 'facebook', 'padahal', 'kuota', 'masih', 'banyak', 'tapi', 'masih', 'saja', 'ditanya', 'buat', 'beli', 'paket', 'tadi', 'lagi', 'sibuk', 'ke', 'hal', 'lain', 'jadinya', 'tidak', 'sengaja', 'terklik', 'malah', 'paket', 'darurat', 'yang', 'aktif', 'dulu', 'paket', 'darurat', 'muncul', 'kalau', 'kuota', 'habis', 'tetapi', 'sekarang', 'agak', 'lain', 'lalu', 'suka', 'menyedot', 'pulsa', 'juga', 'kalau', 'misal', 'kuota', 'habis']","['telkomsel', 'pandai', 'sekali', 'bikin', 'penggunanya', 'melakukan', 'transaksi', 'disadari', 'tadi', 'klik', 'link', 'facebook', 'padahal', 'kuota', 'banyak', 'ditanya', 'buat', 'beli', 'paket', 'tadi', 'sibuk', 'jadinya', 'tidak', 'sengaja', 'terklik', 'malah', 'paket', 'darurat', 'aktif', 'dulu', 'paket', 'darurat', 'muncul', 'kalau', 'kuota', 'habis', 'sekarang', 'lalu', 'suka', 'menyedot', 'pulsa', 'kalau', 'misal', 'kuota', 'habis']",telkomsel pandai sekali bikin guna laku transaksi sadar tadi klik link facebook padahal kuota banyak tanya buat beli paket tadi sibuk jadi tidak sengaja klik malah paket darurat aktif dulu paket darurat muncul kalau kuota habis sekarang lalu suka sedot pulsa kalau misal kuota habis,NEGATIF
JARINGAN AMPAS PAKETAN DI MAHALINN SU ASU,jaringan ampas paketan di mahalinn su asu,jaringan ampas paketan di mahalinn su asu,jaringan ampas paketan di mahalinn su asu,"['jaringan', 'ampas', 'paketan', 'di', 'mahalinn', 'su', 'asu']","['jaringan', 'ampas', 'paketan', 'di', 'mahal', 'su', 'asu']","['jaringan', 'ampas', 'paketan', 'mahal', 'su', 'asu']",jaring ampas paket mahal su asu,NEGATIF
"Lemotttttttt , pindah ke kartu yg lain good bye Telkomsel","lemotttttttt , pindah ke kartu yg lain good bye telkomsel",lemotttttttt   pindah ke kartu yg lain good bye telkomsel,lemotttttttt   pindah ke kartu yg lain good bye telkomsel,"['lemotttttttt', 'pindah', 'ke', 'kartu', 'yg', 'lain', 'good', 'bye', 'telkomsel']","['lambat', 'pindah', 'ke', 'kartu', 'yang', 'lain', 'good', 'bye', 'telkomsel']","['lambat', 'pindah', 'kartu', 'good', 'bye', 'telkomsel']",lambat pindah kartu good bye telkomsel,NEGATIF
Saya mengharapkan kemudahan jaringan dari Telkomsel.. karena jaringan sering lelet,saya mengharapkan kemudahan jaringan dari telkomsel.. karena jaringan sering lelet,saya mengharapkan kemudahan jaringan dari telkomsel   karena jaringan sering lelet,saya mengharapkan kemudahan jaringan dari telkomsel   karena jaringan sering lelet,"['saya', 'mengharapkan', 'kemudahan', 'jaringan', 'dari', 'telkomsel', 'karena', 'jaringan', 'sering', 'lelet']","['saya', 'mengharapkan', 'kemudahan', 'jaringan', 'dari', 'telkomsel', 'karena', 'jaringan', 'sering', 'lambat']","['mengharapkan', 'kemudahan', 'jaringan', 'telkomsel', 'jaringan', 'sering', 'lambat']",harap mudah jaring telkomsel jaring sering lambat,NETRAL
mau beli d shopee bendal,mau beli d shopee bendal,mau beli d shopee bendal,mau beli d shopee bendal,"['mau', 'beli', 'd', 'shopee', 'bendal']","['mau', 'beli', 'd', 'shopee', 'bendal']","['mau', 'beli', 'd', 'shopee', 'bendal']",mau beli d shopee bendal,NETRAL
Bisa ditambahkan riwayat pemakaian pulsa?,bisa ditambahkan riwayat pemakaian pulsa?,bisa ditambahkan riwayat pemakaian pulsa ,bisa ditambahkan riwayat pemakaian pulsa ,"['bisa', 'ditambahkan', 'riwayat', 'pemakaian', 'pulsa']","['bisa', 'ditambahkan', 'riwayat', 'pemakaian', 'pulsa']","['ditambahkan', 'riwayat', 'pemakaian', 'pulsa']",tambah riwayat pakai pulsa,NETRAL
aplikasinya lumayan pelayanan juga baik,aplikasinya lumayan pelayanan juga baik,aplikasinya lumayan pelayanan juga baik,aplikasinya lumayan pelayanan juga baik,"['aplikasinya', 'lumayan', 'pelayanan', 'juga', 'baik']","['aplikasinya', 'lumayan', 'pelayanan', 'juga', 'baik']","['aplikasinya', 'lumayan', 'pelayanan', 'baik']",aplikasi lumayan layan baik,POSITIF
Paket yang sering aku beli kok suka hilang ya kak?,paket yang sering aku beli kok suka hilang ya kak?,paket yang sering aku beli kok suka hilang ya kak ,paket yang sering aku beli kok suka hilang ya kak ,"['paket', 'yang', 'sering', 'aku', 'beli', 'kok', 'suka', 'hilang', 'ya', 'kak']","['paket', 'yang', 'sering', 'aku', 'beli', 'kok', 'suka', 'hilang', 'ya', 'kak']","['paket', 'sering', 'aku', 'beli', 'kok', 'suka', 'hilang', 'kak']",paket sering aku beli kok suka hilang kak,NEGATIF
"Mantep langsung di bantu kalau ada keluhan,kan kedepan nya para costume bisa nyaman,dah gitu banyak lagi event hadiah dari Telkomsel,semoga kedepan nya nomor saya yang berkah dapet hadiah nya ya ð¥°ð¥°","mantep langsung di bantu kalau ada keluhan,kan kedepan nya para costume bisa nyaman,dah gitu banyak lagi event hadiah dari telkomsel,semoga kedepan nya nomor saya yang berkah dapet hadiah nya ya ð¥°ð¥°",mantep langsung di bantu kalau ada keluhan kan kedepan nya para costume bisa nyaman dah gitu banyak lagi event hadiah dari telkomsel semoga kedepan nya nomor saya yang berkah dapet hadiah nya ya ð¥°ð¥°,mantep langsung di bantu kalau ada keluhan kan kedepan nya para costume bisa nyaman dah gitu banyak lagi event hadiah dari telkomsel semoga kedepan nya nomor saya yang berkah dapet hadiah nya ya ð¥°ð¥°,"['mantep', 'langsung', 'di', 'bantu', 'kalau', 'ada', 'keluhan', 'kan', 'kedepan', 'nya', 'para', 'costume', 'bisa', 'nyaman', 'dah', 'gitu', 'banyak', 'lagi', 'event', 'hadiah', 'dari', 'telkomsel', 'semoga', 'kedepan', 'nya', 'nomor', 'saya', 'yang', 'berkah', 'dapet', 'hadiah', 'nya', 'ya', 'ð\x9f¥°ð\x9f¥°']","['mantap', 'langsung', 'di', 'bantu', 'kalau', 'ada', 'keluhan', 'kan', 'kedepan', 'nya', 'para', 'customer', 'bisa', 'nyaman', 'sudah', 'begitu', 'banyak', 'lagi', 'event', 'hadiah', 'dari', 'telkomsel', 'semoga', 'kedepan', 'nya', 'nomor', 'saya', 'yang', 'berkah', 'dapat', 'hadiah', 'nya', 'ya', 'ð\x9f¥°ð\x9f¥°']","['mantap', 'langsung', 'bantu', 'kalau', 'keluhan', 'kan', 'kedepan', 'nya', 'customer', 'nyaman', 'banyak', 'event', 'hadiah', 'telkomsel', 'semoga', 'kedepan', 'nya', 'nomor', 'berkah', 'hadiah', 'nya', 'ð\x9f¥°ð\x9f¥°']",mantap langsung bantu kalau keluh kan depan nya customer nyaman banyak event hadiah telkomsel moga depan nya nomor berkah hadiah nya,POSITIF
"untuk aplikasi my telkomsel nya saya tidak ada komplain, tapi saya mau komplain dengan telkomsel nya, perihal jaringan dalam kota kok bisa ilang"", kadang juga bisa lost signal, mohon di tindaklanjuti lagi keluhan pelanggan mu wahai telkomsel.","untuk aplikasi my telkomsel nya saya tidak ada komplain, tapi saya mau komplain dengan telkomsel nya, perihal jaringan dalam kota kok bisa ilang"", kadang juga bisa lost signal, mohon di tindaklanjuti lagi keluhan pelanggan mu wahai telkomsel.",untuk aplikasi my telkomsel nya saya tidak ada komplain  tapi saya mau komplain dengan telkomsel nya  perihal jaringan dalam kota kok bisa ilang   kadang juga bisa lost signal  mohon di tindaklanjuti lagi keluhan pelanggan mu wahai telkomsel ,untuk aplikasi my telkomsel nya saya tidak ada komplain  tapi saya mau komplain dengan telkomsel nya  perihal jaringan dalam kota kok bisa ilang   kadang juga bisa lost signal  mohon di tindaklanjuti lagi keluhan pelanggan mu wahai telkomsel ,"['untuk', 'aplikasi', 'my', 'telkomsel', 'nya', 'saya', 'tidak', 'ada', 'komplain', 'tapi', 'saya', 'mau', 'komplain', 'dengan', 'telkomsel', 'nya', 'perihal', 'jaringan', 'dalam', 'kota', 'kok', 'bisa', 'ilang', 'kadang', 'juga', 'bisa', 'lost', 'signal', 'mohon', 'di', 'tindaklanjuti', 'lagi', 'keluhan', 'pelanggan', 'mu', 'wahai', 'telkomsel']","['untuk', 'aplikasi', 'my', 'telkomsel', 'nya', 'saya', 'tidak', 'ada', 'komplain', 'tapi', 'saya', 'mau', 'komplain', 'dengan', 'telkomsel', 'nya', 'perihal', 'jaringan', 'dalam', 'kota', 'kok', 'bisa', 'hilang', 'kadang', 'juga', 'bisa', 'lost', 'sinyal', 'mohon', 'di', 'tindaklanjuti', 'lagi', 'keluhan', 'pelanggan', 'mu', 'wahai', 'telkomsel']","['aplikasi', 'my', 'telkomsel', 'nya', 'tidak', 'komplain', 'mau', 'komplain', 'telkomsel', 'nya', 'perihal', 'jaringan', 'kota', 'kok', 'hilang', 'kadang', 'lost', 'sinyal', 'mohon', 'tindaklanjuti', 'keluhan', 'pelanggan', 'mu', 'wahai', 'telkomsel']",aplikasi my telkomsel nya tidak komplain mau komplain telkomsel nya perihal jaring kota kok hilang kadang lost sinyal mohon tindaklanjuti keluh langgan mu wahai telkomsel,NETRAL
"Dari dulu tuh paling suka dari my Telkomsel Karna ada daily check-in biar dapet kuota tambahan,tapi sekarang periode nya cuma 18 hari doang klo gasalah ,belum dapet yang kuota udah ilang tuh periode ,,dan kalo bisa jangan mahal mahal dong harga kuotanya ð¥ºmasa 50ribu cuma dapet bbrp GB doang hmm ,Oya tapi ada sukanya Karna udah ada pulsa jaga,sippp","dari dulu tuh paling suka dari my telkomsel karna ada daily check-in biar dapet kuota tambahan,tapi sekarang periode nya cuma 18 hari doang klo gasalah ,belum dapet yang kuota udah ilang tuh periode ,,dan kalo bisa jangan mahal mahal dong harga kuotanya ð¥ºmasa 50ribu cuma dapet bbrp gb doang hmm ,oya tapi ada sukanya karna udah ada pulsa jaga,sippp",dari dulu tuh paling suka dari my telkomsel karna ada daily check in biar dapet kuota tambahan tapi sekarang periode nya cuma 18 hari doang klo gasalah  belum dapet yang kuota udah ilang tuh periode   dan kalo bisa jangan mahal mahal dong harga kuotanya ð¥ºmasa 50ribu cuma dapet bbrp gb doang hmm  oya tapi ada sukanya karna udah ada pulsa jaga sippp,dari dulu tuh paling suka dari my telkomsel karna ada daily check in biar dapet kuota tambahan tapi sekarang periode nya cuma  hari doang klo gasalah  belum dapet yang kuota udah ilang tuh periode   dan kalo bisa jangan mahal mahal dong harga kuotanya ð¥ºmasa ribu cuma dapet bbrp gb doang hmm  oya tapi ada sukanya karna udah ada pulsa jaga sippp,"['dari', 'dulu', 'tuh', 'paling', 'suka', 'dari', 'my', 'telkomsel', 'karna', 'ada', 'daily', 'check', 'in', 'biar', 'dapet', 'kuota', 'tambahan', 'tapi', 'sekarang', 'periode', 'nya', 'cuma', 'hari', 'doang', 'klo', 'gasalah', 'belum', 'dapet', 'yang', 'kuota', 'udah', 'ilang', 'tuh', 'periode', 'dan', 'kalo', 'bisa', 'jangan', 'mahal', 'mahal', 'dong', 'harga', 'kuotanya', 'ð\x9f¥ºmasa', 'ribu', 'cuma', 'dapet', 'bbrp', 'gb', 'doang', 'hmm', 'oya', 'tapi', 'ada', 'sukanya', 'karna', 'udah', 'ada', 'pulsa', 'jaga', 'sippp']","['dari', 'dulu', 'tuh', 'paling', 'suka', 'dari', 'my', 'telkomsel', 'karena', 'ada', 'daily', 'check', 'in', 'biar', 'dapat', 'kuota', 'tambahan', 'tapi', 'sekarang', 'periode', 'nya', 'cuma', 'hari', 'doang', 'kalau', 'tidak salah', 'belum', 'dapat', 'yang', 'kuota', 'sudah', 'hilang', 'tuh', 'periode', 'dan', 'kalau', 'bisa', 'jangan', 'mahal', 'mahal', 'dong', 'harga', 'kuotanya', 'ð\x9f¥ºmasa', 'ribu', 'cuma', 'dapat', 'beberapa', 'gb', 'doang', 'hmm', 'ya', 'tapi', 'ada', 'sukanya', 'karena', 'sudah', 'ada', 'pulsa', 'jaga', 'sip']","['dulu', 'tuh', 'paling', 'suka', 'my', 'telkomsel', 'daily', 'check', 'in', 'biar', 'kuota', 'tambahan', 'sekarang', 'periode', 'nya', 'cuma', 'hari', 'doang', 'kalau', 'tidak salah', 'belum', 'kuota', 'hilang', 'tuh', 'periode', 'kalau', 'jangan', 'mahal', 'mahal', 'dong', 'harga', 'kuotanya', 'ð\x9f¥ºmasa', 'ribu', 'cuma', 'beberapa', 'gb', 'doang', 'hmm', 'sukanya', 'pulsa', 'jaga', 'sip']",dulu tuh paling suka my telkomsel daily check in biar kuota tambah sekarang periode nya cuma hari doang kalau tidak salah belum kuota hilang tuh periode kalau jangan mahal mahal dong harga kuota masa ribu cuma beberapa gb doang hmm suka pulsa jaga sip,NETRAL
ok sangat baik,ok sangat baik,ok sangat baik,ok sangat baik,"['ok', 'sangat', 'baik']","['oke', 'sangat', 'baik']","['oke', 'sangat', 'baik']",oke sangat baik,POSITIF
"Aplikasi kadang susah dibuka, kadang juga gedek sama jaringannya setauku ini perusahaan terbesar di indonesia tapi jaringannya kok gak stabil pantas indonesia jadi negara dgn jaringan terburuk seasean","aplikasi kadang susah dibuka, kadang juga gedek sama jaringannya setauku ini perusahaan terbesar di indonesia tapi jaringannya kok gak stabil pantas indonesia jadi negara dgn jaringan terburuk seasean",aplikasi kadang susah dibuka  kadang juga gedek sama jaringannya setauku ini perusahaan terbesar di indonesia tapi jaringannya kok gak stabil pantas indonesia jadi negara dgn jaringan terburuk seasean,aplikasi kadang susah dibuka  kadang juga gedek sama jaringannya setauku ini perusahaan terbesar di indonesia tapi jaringannya kok gak stabil pantas indonesia jadi negara dgn jaringan terburuk seasean,"['aplikasi', 'kadang', 'susah', 'dibuka', 'kadang', 'juga', 'gedek', 'sama', 'jaringannya', 'setauku', 'ini', 'perusahaan', 'terbesar', 'di', 'indonesia', 'tapi', 'jaringannya', 'kok', 'gak', 'stabil', 'pantas', 'indonesia', 'jadi', 'negara', 'dgn', 'jaringan', 'terburuk', 'seasean']","['aplikasi', 'kadang', 'susah', 'dibuka', 'kadang', 'juga', 'gedeg', 'sama', 'jaringannya', 'setahu aku', 'ini', 'perusahaan', 'terbesar', 'di', 'indonesia', 'tapi', 'jaringannya', 'kok', 'tidak', 'stabil', 'pantas', 'indonesia', 'jadi', 'negara', 'dengan', 'jaringan', 'terburuk', 'asean']","['aplikasi', 'kadang', 'susah', 'dibuka', 'kadang', 'gedeg', 'sama', 'jaringannya', 'setahu aku', 'perusahaan', 'terbesar', 'indonesia', 'jaringannya', 'kok', 'tidak', 'stabil', 'pantas', 'indonesia', 'jadi', 'negara', 'jaringan', 'terburuk', 'asean']",aplikasi kadang susah buka kadang gedeg sama jaring tahu aku usaha besar indonesia jaring kok tidak stabil pantas indonesia jadi negara jaring buruk asean,NEGATIF
kasih menang ke ya allah,kasih menang ke ya allah,kasih menang ke ya allah,kasih menang ke ya allah,"['kasih', 'menang', 'ke', 'ya', 'allah']","['kasih', 'menang', 'ke', 'ya', 'allah']","['kasih', 'menang', 'allah']",kasih menang allah,NETRAL
ok buaaaanget...!!!,ok buaaaanget...!!!,ok buaaaanget      ,ok buaaaanget      ,"['ok', 'buaaaanget']","['oke', 'banget']","['oke', 'banget']",oke banget,POSITIF
"Daily check innya yg sekarang lucu banget min, baru mulai program tgl 10 bln 2, ko tersisa waktu tinggal 18 hari lg. Sinyal nya yg sekarang ko semakin tdk lbh baik, malah kalah sama kartu 3.","daily check innya yg sekarang lucu banget min, baru mulai program tgl 10 bln 2, ko tersisa waktu tinggal 18 hari lg. sinyal nya yg sekarang ko semakin tdk lbh baik, malah kalah sama kartu 3.",daily check innya yg sekarang lucu banget min  baru mulai program tgl 10 bln 2  ko tersisa waktu tinggal 18 hari lg  sinyal nya yg sekarang ko semakin tdk lbh baik  malah kalah sama kartu 3 ,daily check innya yg sekarang lucu banget min  baru mulai program tgl  bln   ko tersisa waktu tinggal  hari lg  sinyal nya yg sekarang ko semakin tdk lbh baik  malah kalah sama kartu  ,"['daily', 'check', 'innya', 'yg', 'sekarang', 'lucu', 'banget', 'min', 'baru', 'mulai', 'program', 'tgl', 'bln', 'ko', 'tersisa', 'waktu', 'tinggal', 'hari', 'lg', 'sinyal', 'nya', 'yg', 'sekarang', 'ko', 'semakin', 'tdk', 'lbh', 'baik', 'malah', 'kalah', 'sama', 'kartu']","['daily', 'check', 'innya', 'yang', 'sekarang', 'lucu', 'banget', 'admin', 'baru', 'mulai', 'program', 'tanggal', 'bulan', 'ko', 'tersisa', 'waktu', 'tinggal', 'hari', 'lagi', 'sinyal', 'nya', 'yang', 'sekarang', 'ko', 'semakin', 'tidak', 'lebih', 'baik', 'malah', 'kalah', 'sama', 'kartu']","['daily', 'check', 'innya', 'sekarang', 'lucu', 'banget', 'admin', 'baru', 'mulai', 'program', 'tanggal', 'bulan', 'ko', 'tersisa', 'waktu', 'tinggal', 'hari', 'sinyal', 'nya', 'sekarang', 'ko', 'semakin', 'tidak', 'lebih', 'baik', 'malah', 'kalah', 'sama', 'kartu']",daily check innya sekarang lucu banget admin baru mulai program tanggal bulan ko sisa waktu tinggal hari sinyal nya sekarang ko makin tidak lebih baik malah kalah sama kartu,NEGATIF
good ððð,good ððð,good ððð,good ððð,"['good', 'ð\x9f\x91\x8dð\x9f\x91\x8dð\x9f\x91\x8d']","['good', 'ð\x9f\x91\x8dð\x9f\x91\x8dð\x9f\x91\x8d']","['good', 'ð\x9f\x91\x8dð\x9f\x91\x8dð\x9f\x91\x8d']",good,POSITIF
"Aplikasi yg sangat bagus, rekomendasi banget untuk pengguna kartu Telkomsel","aplikasi yg sangat bagus, rekomendasi banget untuk pengguna kartu telkomsel",aplikasi yg sangat bagus  rekomendasi banget untuk pengguna kartu telkomsel,aplikasi yg sangat bagus  rekomendasi banget untuk pengguna kartu telkomsel,"['aplikasi', 'yg', 'sangat', 'bagus', 'rekomendasi', 'banget', 'untuk', 'pengguna', 'kartu', 'telkomsel']","['aplikasi', 'yang', 'sangat', 'bagus', 'rekomendasi', 'banget', 'untuk', 'pengguna', 'kartu', 'telkomsel']","['aplikasi', 'sangat', 'bagus', 'rekomendasi', 'banget', 'pengguna', 'kartu', 'telkomsel']",aplikasi sangat bagus rekomendasi banget guna kartu telkomsel,POSITIF
sangat menyenangkan,sangat menyenangkan,sangat menyenangkan,sangat menyenangkan,"['sangat', 'menyenangkan']","['sangat', 'menyenangkan']","['sangat', 'menyenangkan']",sangat senang,POSITIF
"Setelah berpuluh tahun pake telkomsel tukar point buat di undi dan akhirnya tidak pernah dapat hadiah apa pun,trus siapa kah yg dapat...????","setelah berpuluh tahun pake telkomsel tukar point buat di undi dan akhirnya tidak pernah dapat hadiah apa pun,trus siapa kah yg dapat...????",setelah berpuluh tahun pake telkomsel tukar point buat di undi dan akhirnya tidak pernah dapat hadiah apa pun trus siapa kah yg dapat       ,setelah berpuluh tahun pake telkomsel tukar point buat di undi dan akhirnya tidak pernah dapat hadiah apa pun trus siapa kah yg dapat       ,"['setelah', 'berpuluh', 'tahun', 'pake', 'telkomsel', 'tukar', 'point', 'buat', 'di', 'undi', 'dan', 'akhirnya', 'tidak', 'pernah', 'dapat', 'hadiah', 'apa', 'pun', 'trus', 'siapa', 'kah', 'yg', 'dapat']","['setelah', 'berpuluh', 'tahun', 'pakai', 'telkomsel', 'tukar', 'point', 'buat', 'di', 'undi', 'dan', 'akhirnya', 'tidak', 'pernah', 'dapat', 'hadiah', 'apa', 'pun', 'terus', 'siapa', 'kah', 'yang', 'dapat']","['berpuluh', 'tahun', 'pakai', 'telkomsel', 'tukar', 'point', 'buat', 'undi', 'akhirnya', 'tidak', 'pernah', 'hadiah', 'apa', 'terus', 'siapa']",puluh tahun pakai telkomsel tukar point buat undi akhir tidak pernah hadiah apa terus siapa,NETRAL
udah lumayan itu,udah lumayan itu,udah lumayan itu,udah lumayan itu,"['udah', 'lumayan', 'itu']","['sudah', 'lumayan', 'itu']",['lumayan'],lumayan,NETRAL
