content,textPreprocessing,sentiment
Mantap cuma agak mahal,mantap cuma mahal,NETRAL
mantap min,mantap admin,POSITIF
Sia sia mengikuti daily checkin mau dapet kuota. sedangkan acara nya keburu berakhir batas waktu nya ga sesuai..kok makin aneh sii..ga jelas..padahal ngikuti dari awal dimulai... .zzzzzzzzzz..,sia sia ikut daily check in mau kuota acara nya keburu akhir batas waktu nya tidak sesuai kok makin aneh sih tidak jelas padahal ikut awal mulai zzzzzzzzzz,NEGATIF
kalo bisa pls y jangan kepotong dong kalo kuota abis..suka lupa Matin data,kalau pulsa y jangan potong dong kalau kuota habis suka lupa mati data,NETRAL
Mudah dan cepat gak pakai ribet......manstaf......ðð,mudah cepat tidak pakai ribet mantap,POSITIF
kasih turun lagi harga paket combo sakti ny,kasih turun harga paket combo sakti nya,NETRAL
Pembohong. Fitur jaga pulsa. Tapi pulsa yg disimpan malah habis gak pernah dipakai juga. Padahal sya pakai wifi.,bohong fitur jaga pulsa pulsa simpan malah habis tidak pernah pakai padahal pakai wifi,NEGATIF
mantap min sayangnya bonus gak bisa di pakai,mantap admin sayang bonus tidak pakai,NETRAL
"Hallo kak saya mau tanya, kiraÂ² Telkomsel kapan bangkrutnya ya? Kabari saya ya kalau Telkomsel bangkrut. Salam satu sinyalðð",halo kak mau tanya kira telkomsel kapan bangkrut kabar kalau telkomsel bangkrut salam satu sinyal,NEGATIF
mantap jiwa,mantap jiwa,POSITIF
jaringan menyeluruh,jaring seluruh,POSITIF
Kuota ku berapa MB lagi?,kuota ku berapa mb,NETRAL
"oky apknya, tapi kenapa poin nya tidak bisa ditukar dgn pulsa seperti dulu..??",oky aplikasi poin nya tidak tukar pulsa dulu,NETRAL
pelayanan yg cepat tepat,layan cepat tepat,POSITIF
"Berat, jaringan jg jelek, mahal",berat jaring jelek mahal,NEGATIF
bisssmilah semoga depat motor beat buat kuliiah dan bantu orang tua kemana mana.... aminnn,bismilah moga motor beat buat kuliah bantu orang tua mana amin,NETRAL
tingkatkan komunitas jaringan,tingkat komunitas jaring,NETRAL
mudah dan Yaman,mudah yaman,POSITIF
transaksi cepat,transaksi cepat,POSITIF
Jaringannya buruk banget sekarang suka down padahal dulu jarang sekarang setiap hari pasti ada masalah jaringan!!!!,jaring buruk banget sekarang suka down padahal dulu jarang sekarang hari masalah jaring,NEGATIF
"mantap bossku, promo nya di perbanyak ya bgðððð",mantap bos promo nya banyak bg,POSITIF
Lag bgt telkom bgsd,lag banget telkom bangsat,NEGATIF
sinyal paling jelek se indonesia..,sinyal paling jelek se indonesia,NEGATIF
"Setiap orang kadang berpergian keluar kota, tiba2 kuota internet habis, dalam perjalanan, sedangkan kita perlu komunikasi keluarga, alhamdulillah saran teman dengan aplikasi my telkomsel semua bisa diatasi, mantap oke buanget...jika ada aplikasi yang mudah kenapa harus antri",orang kadang pergi keluar kota tiba kuota internet habis jalan perlu komunikasi keluarga alhamdulilah saran teman aplikasi my telkomsel semua atas mantap oke banget aplikasi mudah antri,POSITIF
Bagus jaringan nya buat streaming bokep aja,bagus jaring nya buat streaming bokep,NEGATIF
"Kapitalis Beli paket Gigamax katanya langganan macamÂ² aplikasi(termasuk sushiroll) 30 hari, baru juga bbrpa hari, langganan sushiroll nya hilang!!! Harus beli langganan lagi",kapitalis beli paket gigamax kata langgan macam aplikasi masuk sushiroll hari baru beberapa hari langgan sushiroll nya hilang beli langgan,NEGATIF
Min minta hadiah boleh? Hehe,admin minta hadiah hehe,NETRAL
kurang banya promo paket data,kurang banyak promo paket data,NETRAL
LOVEEEEEEEEEE,love,POSITIF
Jaringannya kurang memuaskan,jaring kurang muas,NEGATIF
Oke ya sekarang gini perasaan gw ditahun tahun kemaren tu ya sebelom ada 5G itu sinyal yang di desa atau didaerah yang kecil kecil ninbaik baik aja kok sekarang dah ada 5G sinyal malah rusak dan gw agak sedikit kecewa soalnya gw dah lama pakek Telkomsel sekarang malah rusak sinyalnya hadehhh rusakkk!!,oke sekarang begini asa gue tahun tahun kemarin tu g sinyal desa daerah kecil kecil baik baik kok sekarang g sinyal malah rusak gue sedikit kecewa soal gue lama pakai telkomsel sekarang malah rusak sinyal hadeh rusak,NEGATIF
Sinyal udah lumayan,sinyal lumayan,NETRAL
"Aplikasi nya PHP.. Tiap klik isi pulsa, katanya dapet poin dan bertambah masa berlaku nya.. Eehh udah berkali-kali isi pulsa poin nya gak dapet2, masa berlaku nya bertambah,3hr kemudian ilang. Udah puluhan tahun pake ini, mengecewakan ð",aplikasi nya php tiap klik isi pulsa kata poin tambah masa laku nya eh kali kali isi pulsa poin nya tidak masa laku nya tambah hari kemudian hilang puluh tahun pakai kecewa,NEGATIF
PARAH BGT sinyalnya sekarang,parah banget sinyal sekarang,NEGATIF
sangat terbantu u/ pembelian pulsa,sangat bantu u beli pulsa,POSITIF
emang pilihanku Telkomselððð,memang pilih telkomsel,POSITIF
"mudah""an bs dapat hadiah mobil,soalny udh lma pngen punya mobil",mudah an hadiah mobil soal lima punya mobil,NETRAL
"Bulan 10 saya dapat hadiah dari jelajah,di hubungi setiap hari.tapi klaim nya sudah 1 bulan lebih belum ada jalan keluar nya",bulan hadiah jelajah hubung hari klaim nya bulan lebih belum jalan keluar nya,NETRAL
Dikerjain daily check in terus,kerja daily check in terus,NEGATIF
kasih bagus lagi jaringan,kasih bagus jaring,NETRAL
Lumayan lah.,lumayan lah,NETRAL
Bagaimana bisa dapat paylatter Telkomsel,bagaimana paylater telkomsel,NETRAL
"Paket darurat udah ga muncul, kenapa ya",paket darurat tidak muncul,NETRAL
Daily checkin hilang,daily check in hilang,NEGATIF
kerennn cepat,keren cepat,POSITIF
Gak enak banget udah jelek sinyal kuota pada naik ceckin cuman beberapa hari gak kayak dulu..,tidak enak banget jelek sinyal kuota naik check in cuma beberapa hari tidak dulu,NEGATIF
terimakasi aplikasi ini sangat membantu,terima kasih aplikasi sangat bantu,POSITIF
"Kuota internet sangat mahal, jaringan tidak stabil di tambah masa aktif harus di beli.ððð",kuota internet sangat mahal jaring tidak stabil tambah masa aktif beli,NEGATIF
Kalau dihitung-hitung daily check-in gk sampai 10 gb bulan February,kalau hitung hitung daily check in tidak gb bulan februari,NETRAL
combo sakti,combo sakti,POSITIF
Aplikasi makin lama makin kacau ...paket internet saya bisa habis bergiga giga padahal saya jarang nonton ...masa saya sehari tanpa pemakain bisa habis 6 giga....kemana lari nya pulsa paket internet saya itu.biasa nya sehari sebelum nya sehari sya pake paling tinggi 1 giga...kacau ini...Seperti ada makhluk gaib nya yg ambil apa ini.kl bisa di aplikasi nya kirim kan pemakain kita berapa perhari itu...terus sebelum saya pake hari itu berpa kuata saya hari itu.biar kita ngecek dan bisa kita cocokan,aplikasi makin lama makin kacau paket internet habis beberapa giga giga padahal jarang nonton masa hari pakai habis giga lari nya pulsa paket internet biasa nya hari nya hari pakai paling tinggi giga kacau makhluk gaib nya ambil apa kalau aplikasi nya kirim kan pakai berapa hari terus pakai hari berapa kuota hari biar ecek cocok,NEGATIF
Ga jelas jaringannya Ngadain trus,tidak jelas jaring ada terus,NEGATIF
Numayan bagus apk nya,lumayan bagus aplikasi nya,POSITIF
"Kartu saya hangus, apakah masih bisa di perbaiki? Soalnya saya lupa pake KK yang mana.",kartu hangus baik soal lupa pakai kk mana,NETRAL
naik teros,naik terus,NETRAL
"Ambil nih bintang satu nya mohon y di perbaikin soal chek in nya itu di sesuai kan njng jngn gak gelas soal hitungan chek in nya smph 23 hri bru dpt pket ini pas di liat rupanya smph 18 hari boro"" dpt 14 gb 4 gb ae.gak dpt lawak emng jdi di perbaikin ye soal chek in nya liat dngn teliti udah benr apa. Blm",ambil nih bintang satu nya mohon y baik soal cek in nya sesuai kan anjing jangan tidak gelas soal hitung cek in nya sampah hari baru paket pas liat rupa sampah hari boro gb gb tidak lawak memang jadi baik ye soal cek in nya liat teliti benar apa belum,NEGATIF
Minimal kalo udah mahal tuh jangan ngeleg tod. Gedeg banget gw. Ujan ilang jaringan. Gila kali lu.,minimal kalau mahal tuh jangan lag tod gedeg banget gue hujan hilang jaring gila kali lu,NEGATIF
mudah dalam penggunaan.,mudah guna,POSITIF
Lama lama gajelas,lama lama tidak jelas,NEGATIF
Kenapa Telkomsel selalu mengambil atau menyedot pulsa customer untuk paketan data tanpa ada persetujuan dari customer..harusnya ditanyakan dulu.. Apakah anda setuju untuk diteruskan menjadi akses internet dengan tarif non paket??ketik Ya jika setuju.. Harusnya ditanya dulu gak langsung sedot gitu..kasihan customer nya.apalagi yang gak paham IT. Berusahalah membuat kebijakan yg ramah ..,telkomsel selalu ambil sedot pulsa customer paket data tuju customer harus tanya dulu tuju terus jadi akses internet tarif non paket ketik tuju harus tanya dulu tidak langsung sedot kasihan customer nya tidak paham it usaha buat bijak ramah,NEGATIF
"Jaringan makin kesini makin ancur,",jaring makin kesini makin hancur,NEGATIF
"Sinyal internet nya jelek banget,,,",sinyal internet nya jelek banget,NEGATIF
nanti kasih promo paket data murah y,kasih promo paket data murah y,NETRAL
"Kecewa dengan program daily cek in, krn hadiah kuotanya tidak akan bisa di klame, itu sengaja atau salah perhitungan ya, masa full cek in 22 tp dibatasin sampai 18, gmn ceritanya itu program?",kecewa program daily cek in hadiah kuota tidak klaim sengaja salah hitung masa full cek in batas bagaimana cerita program,NEGATIF
Telkomsel selalu terdepan,telkomsel selalu depan,POSITIF
Terimakasih sudah mempermudah Kami Dalam pembelian Paket data,terima kasih mudah beli paket data,POSITIF
Terimakasih buat program daily check in nya sudah ada lagi walaupun bonus nya gak bisa di klaim semua coz hitungan waktunya mepet banget cukupin sebulan kenapa kayak dulu lagi... ðð,terima kasih buat program daily check in nya walaupun bonus nya tidak klaim semua coz hitung waktu mepet banget cukup bulan dulu,POSITIF
Gak pernah dapet kuota gratis akoh,tidak pernah kuota gratis aku,NETRAL
Butut sinyal na lah bikin kesel,butut sinyal na lah bikin kesal,NEGATIF
"JARINGAN BURUK, SUKA HILANG HILANG, TAPI UPDET TIAP MINGGU, APK KHONTOL",jaring buruk suka hilang hilang update tiap minggu aplikasi kontol,NEGATIF
sangat baik dan bagus,sangat baik bagus,POSITIF
puas dengan pelayanan my Telkomsel,puas layan my telkomsel,POSITIF
tukar poin,tukar poin,NETRAL
"SDH berapa kali saya bilang TELKOMSEL YANG TERHORMAT, HUBUNGI MIMIN JG GAK GUNA, TETAP SAJA JARINGAN GAK NGARUH KALAU HUBUNGI MIMINNYA",berapa kali bilang telkomsel hormat hubung admin tidak tetap jaring tidak pengaruh kalau hubung adminnya,NEGATIF
sering sering promo donk di my telkomsel,sering sering promo dong my telkomsel,NETRAL
Tingkatkan lagi kualitas sinyal,tingkat kualitas sinyal,NETRAL
"mengapa akhir-akhir ini jaringan internet d wilayah batulicin kalsel, kurang memuaskan",akhir akhir jaring internet d wilayah batulicin kalsel kurang muas,NEGATIF
lanjut daptarkan,lanjut daftar,NETRAL
lebih mudah penggunaannya,lebih mudah guna,POSITIF
Udah berapa bulan lalu gak bisa beli paket lewat app ini.. selalu bilanh cek koneksi..padahal udah pake wifi udah pake paket jaringan stabil ð,berapa bulan lalu tidak beli paket lewat aplikasi selalu bilang cek koneksi padahal pakai wifi pakai paket jaring stabil,NEGATIF
aku kasi ð buat my telkomsel,aku kasih buat my telkomsel,NETRAL
sangat bgus,sangat bagus,POSITIF
"Tanggal 21 Feb '23 beli paket internet pembayaran via dana, sehari blm masuk2 langsung complain ke call center. setelah laporan masuk, ga sampe sejam ada notifikasi masuk via MyTelkomsel bahwa laporan diselesaikan oleh pihak Telkomsel dengan berita paket yg kemarin gagal sudah berhasil masuk. pas saya cek blm masuk juga dan disuruh menunggu 12 jam LAGI. setelah 12 jam, mau melanjutkan komplain di aplikasi sudah tidak bisa dan paket Internet pun BELUM MASUK juga. sangat kacau.",tanggal februari beli paket internet bayar via dana hari belum masuk langsung komplain call center lapor masuk tidak jam notifikasi masuk via mytelkomsel lapor selesai pihak telkomsel berita paket kemarin gagal hasil masuk pas cek belum masuk suruh tunggu jam jam mau lanjut komplain aplikasi tidak paket internet belum masuk sangat kacau,NEGATIF
Maaf sya turun kan bintang nya.. karena kendala sinyal yg tak kunjung membaik ketika bermain game.. paket internet masih banyak tapi sinyal nya rendah bnget pas main game dan itu sangat menggangu kenyamanan bermain nya... Harga paketan internet tidak sesuai dengan kualitas jaringan nya...,maaf turun kan bintang nya kendala sinyal tak kunjung baik main game paket internet banyak sinyal nya rendah banget pas main game sangat menggangu nyaman main nya harga paket internet tidak sesuai kualitas jaring nya,NEGATIF
Apa ada bedanya Simpati Sama Hallo? Cari nomor simpati lagi yang diawali 082???area Jatim ada pa?,apa beda simpati sama halo cari nomor simpati awal area jatim pa,NETRAL
saya suka sekali,suka sekali,POSITIF
bagus..semoga lebih sering bagi2 bonus.. sudah pakai as hampir 20th..,bagus moga lebih sering bonus pakai as hampir tahun,POSITIF
"Bukan aplikasinya tapi sistemnya, kok gua gk pernah utang tiba2 di tagih sendiri anjir, mana pulsanya juga sering ke hisap sendiri, data gk nyala, gk pernah sms-an, gk pernah nelfon selular, tapi tetep aja berkurang, hadeh.... Dan gk satu kali doang, tapi berkali2, saran buat Telkomsel untuk memperbaiki sistemnya. Gk jelas bet cuy",bukan aplikasi sistem kok gue tidak pernah utang tiba tagih sendiri anjir mana pulsa sering hisap sendiri data tidak nyala tidak pernah sms an tidak pernah telepon seluler tetap kurang hadeh tidak satu kali doang kali saran buat telkomsel baik sistem tidak jelas bet cuy,NEGATIF
my telkomsel Lanjay,my telkomsel anjay,NETRAL
Saya suka indonesia,suka indonesia,NETRAL
semoga berhasil mendapatkan undian,moga hasil dapat undi,NETRAL
apa ini benar,apa benar,NETRAL
"Menurut saya Telkomsel bagus, lebih tepatnya di call center nya sih sangat kompeten,saat jaringan saya jelek telpon call center langsung bergerak jadi gitu enaknya sih mantap Telkomsel :v",telkomsel bagus lebih tepat call center nya sih sangat kompeten jaring jelek telepon call center langsung gerak jadi enak sih mantap telkomsel v,POSITIF
Memudahkan pengguna Telkomsel.,mudah guna telkomsel,POSITIF
kalo bisa seperti dolo.. mau cek seputar kartu SIM bisa melalui *888# lebih mudah & lebih simpleâ¼ï¸â¼ï¸â¼ï¸â¼ï¸â¼ï¸,kalau dulu mau cek putar kartu sim lalu lebih mudah lebih simple,NETRAL
telkomsel...mantaaappp,telkomsel mantap,POSITIF
Bagus untuk berlangan,bagus langgan,POSITIF
"Perusahaan besar tp aplikasi nya begini, mau buka aplikasinya saja susah",usaha besar aplikasi nya begini mau buka aplikasi susah,NEGATIF
sangat puasssss,sangat puas,POSITIF
Perbanyak kuota gratis nya bg,banyak kuota gratis nya bagai,NETRAL
Aplikasinya sanggat bagus,aplikasi sangat bagus,POSITIF
"hmmm dari dulu sampe sekarang perubahan sedikit, yg bagus hanya tanpa pemotongan pulsa, dan kuota masih sama terutama daily cekin itu mah sebenarnya bukan hadiah cumaÂ² tapi bayar...kuota gratisan 2GB setiap beli kuota sih boleh tapi klo bulanan yg bonus 2gb GK bisa di pake yg ke sedot kuota OMG duluan bknnya yg proitas ke kuota masa aktif jangka pendek yg di pake, percuma di kasih gratisan bulanan. klo harian ya boleh sih tapi khusu download apk/file yg besar ð­ð­",hmm dulu sekarang ubah sedikit bagus potong pulsa kuota sama utama daily check in mah benar bukan hadiah cuma bayar kuota gratis gb beli kuota sih kalau bulan bonus gb tidak pakai sedot kuota omg lebih dulu bukan prioritas kuota masa aktif jangka pendek pakai percuma kasih gratis bulan kalau hari sih khusus download aplikasi file besar,NEGATIF
"dulu Telkomsel memang diakui bagus, , , , alasan saya masih gunakan nomor Telkomsel karena kolega dan kerabat saja, sedangkan untuk berseluncur di dumay saya lebih percayakan kepada provider sebelah yg lebih bonafit dalam mutu dan pelayanan nya, , , jangan marah ya Telkomsel, , fakta berbicara",dulu telkomsel memang aku bagus alas guna nomor telkomsel kolega kerabat seluncur dunia maya lebih percaya provider belah lebih bonafit mutu layan nya jangan marah telkomsel fakta bicara,NETRAL
cukup lumayan,cukup lumayan,NETRAL
"mntap aplikasi my Telkomsel ,jngn ragu untuk mngunduh aplikasi ini",mantap aplikasi my telkomsel jangan ragu unduh aplikasi,POSITIF
Sinyal masih bagus kadang2 tapi harga nya yang ngotak lah adain perbulan dapat diskon paketan,sinyal bagus kadang harga nya otak lah adakan bulan diskon paket,NETRAL
"Telkomsel di Papua sangat mengecewakan. Paket data semakin mahal, TPI jaringannya hancur",telkomsel papua sangat kecewa paket data makin mahal jaring hancur,NEGATIF
aplikasi telkomse ini sangat baik untuk kami.,aplikasi telkomsel sangat baik,POSITIF
"TELKOMSIALL Saya Tinggal di Ibukota... jaringan awalnya stabil, makin kesini makin burik ini jaringan. Malah bagusan si biru sama sikuning. Simerah kaya t4i mahalnya doank. Alhasil semua Ewallet dari ovo dana gopay Shopee, saya alihkan ke nomer sebelah n tak lagi isi data ataupun plsa di telkomsiiall... Permainan Operator. Biar jaringan Mifinya laku n jaringan stabil.. tapi alhasi apa kalian mikir gak semua rumah punya wifiii.... yg ada tahun ini opertor merah ditinggal pengguna setianya..",telkomsel sial tinggal ibukota jaring awal stabil makin kesini makin burik jaring malah lebih bagus si biru sama si kuning si merah kaya ti mahal doang alhasil semua e wallet ovo dana gopay shopee alih nomor belah n tak isi data atau pulsa telkomsel sial main operator biar jaring mifi laku n jaring stabil alhasil apa kalian mikir tidak semua rumah punya wifi tahun operator merah tinggal guna setia,NEGATIF
Jaringannya lemot kadang GX bisa pke internetan,jaring lambat kadang tidak pakai internetan,NEGATIF
Jaman gini kog sek ada ae signal E & H+.. Kalo pengen 4G apa harus meluk tower dulu..nih di Malang Kotanya kaya gini...Hadew..perlu di rombak management nya nih..payah!!! Aplikasinya juga payah!! Login gagal mlulu... Gini kog sek di pertahankan ae.. Wes Bangkrut apa gimana telkomsel ini... Kalo wes ga mampu jangan PHP orang dong... Mending mundur aja dr dunia persilatan...,zaman begini kok sek sinyal e h kalau g apa peluk tower dulu nih malang kota kaya begini hadeh perlu rombak manajemen nya nih payah aplikasi payah login gagal melulu begini kok sek tahan wes bangkrut apa bagaimana telkomsel kalau wes tidak mampu jangan php orang dong mending mundur dunia silat,NEGATIF
Kenapa sekarang ga bisa daily check in buat dapetin hadiah padahal awal pakai my Telkomsel enk bgt,sekarang tidak daily check in buat dapat hadiah padahal awal pakai my telkomsel enak banget,NETRAL
"Udh bagus sih untuk update kali ini, fitur protect pulsa nya sangat membantu, point nya pun udh makin banyak bisa dituker, cuma 1 untuk jaringan sering enggak stabil dan untuk harga paket nya tolong banyakin promo nya untuk pengguna lama makin mahal aja paket nya",bagus sih update kali fitur protect pulsa nya sangat bantu point nya makin banyak tukar cuma jaring sering tidak stabil harga paket nya banyak promo nya guna lama makin mahal paket nya,NETRAL
cukup membantu,cukup bantu,POSITIF
"Aplikasi nya ga kaya dulu, sekarang banyak yang di ilangin",aplikasi nya tidak kaya dulu sekarang banyak hilang,NEGATIF
lumayan puas,lumayan puas,NETRAL
"kasih empat dulu , kalau dapet hadiah utama baru bintangnya lima ehehe .",kasih empat dulu kalau hadiah utama baru bintang lima eh,NETRAL
"PROVIDER BOBROK ANJEENK MAKIN MAHAL.. JARINGAN MAKIN BOBROK SEJAK 2020 KEATAS..JARINGAN BUKANYA BENER,MALAH MAKIN ANCUR ANJEEENK... UDH TARIF MAKIN MAHAL.. JARINGAN MAKIN BOBROK.. 2020 KEBAWAH.. KONEKSI BAIK"" AJA GA ADA MASALAH... KENAPA 2020 KEATAS..KONEKSI MAKIN BOBROK..... TARIF IKUT NAIK TAAIIII",provider bobrok anjing makin mahal jaring makin bobrok sejak atas jaring buka benar malah makin hancur anjing tarif makin mahal jaring makin bobrok bawah koneksi baik tidak masalah atas koneksi makin bobrok tarif ikut naik tai,NEGATIF
pulsa sring ke sedot tdk jls,pulsa sering sedot tidak jelas,NEGATIF
Tolong dong pihak telkomsel.. Masak paketan cuma satu bulan.. Buatlah yang 290 gb jadi 3 bulan atu yang lain,dong pihak telkomsel masak paket cuma satu bulan buat gb jadi bulan satu,NETRAL
sangat puas kali pakai Telkomsel,sangat puas kali pakai telkomsel,POSITIF
Selalu jaga kwakitas yg terbaik,selalu jaga kualitas baik,POSITIF
"Tolong d jawab, knp pulsa saya tiba2 habis",d jawab pulsa tiba habis,NEGATIF
saya suka banget terus mudah lagi,suka banget terus mudah,POSITIF
"Semakin lama jaringan telkomsel semakin buruk. Koneksi lambat, dan harga beli data juga mahal tetapi tidak didukung dengan jaringan yang baik. Saya pelanggan telkomsel sejak 2006, makin kesini jadi kecewa. Mohon diperbaiki kualitas jaringannya. Terima kasih.",makin lama jaring telkomsel makin buruk koneksi lambat harga beli data mahal tidak dukung jaring baik langgan telkomsel sejak makin kesini jadi kecewa mohon baik kualitas jaring terima kasih,NEGATIF
Tolong perbaiki sinyal sekarang di peruntukan untuk game,baik sinyal sekarang untuk game,NETRAL
Udah 2 hari sinyal jelek terus. Percuma beli pulsa mahalÂ²,hari sinyal jelek terus percuma beli pulsa mahal,NEGATIF
Jaringan sangat buruk sekali,jaring sangat buruk sekali,NEGATIF
telkomsel mantap,telkomsel mantap,POSITIF
Dkkkkkfg Lo,dkkkkkfg lo,NEGATIF
Sangat buruk setelah update dimana aplikasi menjadi sangat berat dan tidak bisa dipakai untuk cek kuota jika memang ingin membuat aplikasi yang berat tolong kembalikan fitur cek kuota seperti dulu yang tidak harus login aplikasi,sangat buruk update aplikasi jadi sangat berat tidak pakai cek kuota memang buat aplikasi berat kembali fitur cek kuota dulu tidak login aplikasi,NEGATIF
Selengkap nya Fenomena Atau Pri laku Kebenaran Dan kejujuran yang telah kita capai namun tidak ada yang ingin di follback saat admin on dari kita,lengkap nya fenomena pri laku benar jujur capai tidak follow back admin on,NETRAL
Telkom jaringannya gk jelas down parah ajg benerin ngapa jaringannya jangan harga kuotanya aja mahal,telkom jaring tidak jelas down parah anjing benar jaring jangan harga kuota mahal,NEGATIF
"cepat,cerdas, dan memuaskan",cepat cerdas muas,POSITIF
Bagus si tapi kasih bintang 1 aja,bagus si kasih bintang,NETRAL
tetap setiap dengan telkomsel,tetap telkomsel,POSITIF
mantap bosku,mantap bos,POSITIF
kamu nanya,kamu tanya,NETRAL
Bang kayak mana cara nukerin poin nya,bang mana cara tukar poin nya,NETRAL
Semoga dapet hadiah Samsung dan mobile dr undian amiin,moga hadiah samsung mobile undi amin,NETRAL
"Daily chek in nya susah dimengerti ,belum sempat dapat kuota malah udah berakhir",daily cek in nya susah erti belum sempat kuota malah akhir,NEGATIF
lumayan tp mohon lebih di tingkatkan ð,lumayan mohon lebih tingkat,NETRAL
"Telkomsel selalu memberikan yang terbaik,saya puas menjadi pelanggan Telkomsel",telkomsel selalu beri baik puas jadi langgan telkomsel,POSITIF
"Sorry, dikasih bintang 2 soalnya tidak ramah. Masa baru aja ngisi pulsa dan nyambung wifi tidak pakai data. Tapi pulsa nya terpotong hingga tersisa beberapa ratus rupiah saja. And as always loadingnya subhanallah.. pas mau masuk apknya.. Kecewa bgt..",sorry kasih bintang soal tidak ramah masa baru isi pulsa sambung wifi tidak pakai data pulsa nya potong hingga sisa beberapa ratus rupiah and as always loading subhanallah pas mau masuk aplikasi kecewa banget,NEGATIF
Min cara nurunin tier dari GOLD kembali ke silver bisa ga min,admin cara turun tier gold silver tidak admin,NETRAL
"APK BABI!! KITA DIPAKSA PAKE APK INI, KLO GA BAKAL SUSAH BELI PAKETAN INTERNET YG GA BEDA JAUH HARGANYA. MAHAL TP SINYAL TURUN NAIK TERUS KLO HUJAN. BANGSAD. GW BUTUH PAKET INTERNET BIASA, GA PERLU PAKET NONTON DAN LAINNYA YA ANAK DAJAL. ISINYA PASTI KORUPTOR SAMPAI SINYAL AMPAS.",aplikasi babi paksa pakai aplikasi kalau tidak bakal susah beli paket internet tidak beda jauh harga mahal sinyal turun naik terus kalau hujan bangsat gue butuh paket internet biasa tidak perlu paket nonton lain anak dajal isi koruptor sinyal ampas,NEGATIF
tebaikkkkkskksssk,baik,POSITIF
mantap pelayanannya,mantap layan,POSITIF
mempermudah utk memilih paket,mudah pilih paket,POSITIF
"kuota terjangkau, mohon ditingkatkan kecepatan internet terutama didaerah pelosok.",kuota jangkau mohon tingkat cepat internet utama daerah pelosok,NETRAL
"sinyal selalu oke, selalu unlimited paket pulsakubdibonusin mulu",sinyal selalu oke selalu unlimited paket pulsa bonus mulu,POSITIF
Saya isi pulsa di aplikasi mytelkomsel saldo gopay saya sudah dipotong sedangkan pulsa nya belum masuk tolong di prosesakan pulsa saya,isi pulsa aplikasi mytelkomsel saldo gopay potong pulsa nya belum masuk proses akan pulsa,NETRAL
Bermanfaat,manfaat,POSITIF
Gak usah di update deh udah gak usah!! Gak perlu!! Kta cuma butuh apk yg dulu simpel dan mudah!!,tidak usah update deh tidak usah tidak perlu cuma butuh aplikasi dulu simpel mudah,NEGATIF
My Telkomsel Sangat Membantu Dan Ngk nyesel deh download nya,my telkomsel sangat bantu tidak sesal deh download nya,POSITIF
Jaga dan tingkatkan mutu&kwalitas suara.,jaga tingkat mutu kualitas suara,POSITIF
puaaaassss,puas,POSITIF
Aplikasi mantap bangetttttttt bisa dapat Kouta gratis,aplikasi mantap banget kouta gratis,POSITIF
Aneh masa saya tombol beli kuota hiburan gk ada,aneh masa tombol beli kuota hibur tidak,NEGATIF
FITUR RAMUAN CINTA NYA SCAM ð,fitur ramu cinta nya scam,NEGATIF
"enaaaak masss,lagi donk",enak mas dong,NETRAL
awalnya ðâtp setelah dipelajari akhirnya bisa dan ðð¬,awal tp ajar akhir,NETRAL
puasss....,puas,POSITIF
"Telkomsel kalo jaringan sih oke, tapi akhir2 ini telkomsel banyak ngelanturnya. Contohnya, seperti di program daily check-in untuk dapat bonus kuota data yang akhir harus check in 22 kali, sedang periode yang di berikan 18 hari . Mohon untuk diperbaiki , jangan mengecewakan pengguna.",telkomsel kalau jaring sih oke akhir telkomsel banyak lantur contoh program daily check in bonus kuota data akhir check in kali sedang periode ikan hari mohon baik jangan kecewa guna,NETRAL
"Kenapa hanya bisa digunakan bila online, coba bisa gunakan offline juga sepertinya itu bisa lebih baik dan bagus..",guna bila online coba guna offline seperti lebih baik bagus,NEGATIF
Lebih baik pakek im3 i dosat dari pada telkomsel,lebih baik pakai im i indosat telkomsel,NEGATIF
PIHAK TELKOMSEL BLOKIR APLIKASI MAXIM. SEHINGGA APLIKASI MAXIM TIDAK BISA DI AKSES MENGGUNAKAN JARINGAN SELULER TELKOMSEL. KAREN MAXIM & SI IJO ADA KERJASAMA.,pihak telkomsel blokir aplikasi maxim aplikasi maxim tidak akses guna jaring seluler telkomsel maxim si hijau kerja sama,NEGATIF
"Freak anjir, jaman sekarang masih spam sms paket paket useless",freak anjir zaman sekarang spam sms paket paket useless,NEGATIF
"T-sel mahal doang, signal nya lebih jelek dari profider yg murah. Quota masih banyak, masa aktif masih lama tapi ga bisa di pake. Payah!!!!",t sel mahal doang sinyal nya lebih jelek provider murah kuota banyak masa aktif lama tidak pakai payah,NEGATIF
Kelebihan Aplikasi yang sangat membantu. Segala bentuk menjadi lebih mudah namun 1 yang kurang itu . Baik paket nelpon maupun paket data sangatlah mahal .. mohon menkon-info untuk dapat membantu. Terimakasih,lebih aplikasi sangat bantu segala bentuk jadi lebih mudah kurang baik paket telepon maupun paket data sangat mahal mohon menkominfo info bantu terima kasih,NETRAL
My Telkomsel memang mantab,my telkomsel memang mantap,POSITIF
"aplikasi gajelas padahal cuman aplikasi buat beli kuota tapi beratnya minta ampun, loading dalam lama padahal sinyal full, tolong untuk admin kendala seperti ini cepat di perbaiki",aplikasi tidak jelas padahal cuma aplikasi buat beli kuota berat minta ampun loading lama padahal sinyal full admin kendala cepat baik,NEGATIF
